Food,Allergy,Summary,url
asian dishes,eggs,"Fried rice is a dish of cooked rice that has been stir-fried in a wok or a frying pan and is usually mixed with other ingredients such as eggs, vegetables, seafood, or meat. It is often eaten by itself or as an accompaniment to another dish. Fried rice is a popular component of East Asian, Southeast Asian and certain South Asian cuisines. As a homemade dish, fried rice is typically made with ingredients left over from other dishes, leading to countless variations. Being an economical hodgepodge, the same approach is often taken with fried noodles or pyttipanna as well. Fried rice first developed during the Sui Dynasty in China and as such all fried rice dishes can trace their origins to Chinese fried rice.Many popular varieties of fried rice have their own specific list of ingredients. In Greater China, the most famous varieties include Yangzhou fried rice and Hokkien fried rice. Japanese chāhan is considered a Japanese Chinese dish, having derived from Chinese fried rice dishes. Korean bokkeum-bap in general is not, although there is a Korean Chinese variety of bokkeum-bap. In Southeast Asia, similarly constructed Indonesian, Malaysian, and Singaporean nasi goreng and Thai khao phat are popular dishes. In the West, most restaurants catering to vegetarians have invented their own varieties of fried rice, including egg fried rice. Fried rice is also seen on the menus of American restaurants offering cuisines with no native tradition of the dish. Additionally, the cuisine of some Latin American countries includes variations on fried rice, including Ecuadorian chaulafan, Peruvian arroz chaufa, Cuban arroz frito, and Puerto Rican arroz mamposteao. 
Fried rice is a popular street food in Asia. In some Asian countries, small restaurants, street vendors and traveling hawkers specialize in serving fried rice. In Indonesian cities it is common to find fried rice street hawkers moving through the streets with their food cart and stationing it in busy streets or residential areas. Many Southeast Asian street food stands offer fried rice with a selection of optional garnishes and side dishes.",https://en.wikipedia.org/wiki/Fried_rice
baked goods,eggs,"Pastry is a dough of flour, water and shortening (solid fats, including butter) that may be savoury or sweetened. Sweetened pastries are often described as bakers' confectionery. The word ""pastries"" suggests many kinds of baked products made from ingredients such as flour, sugar, milk, butter, shortening, baking powder, and eggs. Small tarts and other sweet baked products are called pastries. Common pastry dishes include pies, tarts, quiches, croissants, and pasties.The French word pâtisserie is also used in English (with or without the accent) for the same foods. Originally, the French word pastisserie referred to anything, such as a meat pie, made in dough (paste, later pâte) and not typically a luxurious or sweet product. This meaning still persisted in the nineteenth century, though by then the term more often referred to the sweet and often ornate confections implied today.
Pastry can also refer to the pastry dough, from which such baked products are made. Pastry dough is rolled out thinly and used as a base for baked products.
Pastry is differentiated from bread by having a higher fat content, which contributes to a flaky or crumbly texture.  A good pastry is light and airy and fatty, but firm enough to support the weight of the filling. When making a shortcrust pastry, care must be taken to blend the fat and flour thoroughly before adding any liquid. This ensures that the flour granules are adequately coated with fat and less likely to develop gluten. On the other hand, overmixing results in long gluten strands that toughen the pastry. In other types of pastry such as Danish pastry and croissants, the characteristic flaky texture is achieved by repeatedly rolling out a dough similar to that for yeast bread, spreading it with butter, and folding it to produce many thin layers.",https://en.wikipedia.org/wiki/Pastry
battered foods,eggs,"Batter is thin dough that can be easily poured into a pan. Batter is used mainly for pancakes, light cakes, and as a coating for fried foods. The word batter comes from the French word battre which means to beat, as many batters require vigorous beating or whisking in their preparation.",https://en.wikipedia.org/wiki/Batter_(cooking)
confectionery,eggs,"Confectionery is the art of making confections, which are food items that are rich in sugar and carbohydrates. Exact definitions are difficult. In general, though, confectionery is divided into two broad and somewhat overlapping categories, bakers' confections and sugar confections.Bakers' confectionery, also called flour confections, includes principally sweet pastries, cakes, and similar baked goods.
Sugar confectionery includes candies (sweets in British English), candied nuts, chocolates, chewing gum, bubble gum, pastillage, and other confections that are made primarily of sugar. In some cases, chocolate confections (confections made of chocolate) are treated as a separate category, as are sugar-free versions of sugar confections. The words candy (US and Canada),  sweets (UK and Ireland), and lollies (Australia and New Zealand) are common words for the most common varieties of sugar confectionery.
The confectionery industry also includes specialized training schools and extensive historical records. Traditional confectionery goes back to ancient times and continued to be eaten through the Middle Ages into the modern era.",https://en.wikipedia.org/wiki/Confectionery
crumbed foods,eggs,"Bread crumbs or breadcrumbs (regional variants: breading, crispies) are sliced residue of dry bread, used for breading or crumbing foods, topping casseroles, stuffing poultry, thickening stews, adding inexpensive bulk to soups, meatloaves and similar foods, and making a crisp and crunchy covering for fried foods, especially breaded cutlets like tonkatsu and schnitzel.  The Japanese variety of bread crumbs is called panko.",https://en.wikipedia.org/wiki/Bread_crumbs
custards,eggs,"Custard is a variety of culinary preparations based on milk or cream cooked with egg yolk to thicken it, and sometimes also flour, corn starch, or gelatin. Depending on the recipe, custard may vary in consistency from a thin pouring sauce (crème anglaise) to the thick pastry cream (crème pâtissière) used to fill éclairs. The most common custards are used in desserts or dessert sauces and typically include sugar and vanilla, however savory custards are also found, e.g. in quiche.
Custard is usually cooked in a double boiler (bain-marie), or heated very gently in a saucepan on a stove, though custard can also be steamed, baked in the oven with or without a water bath, or even cooked in a pressure cooker. Custard preparation is a delicate operation, because a temperature increase of 3–6 °C (5–10 °F) leads to overcooking and curdling. Generally, a fully cooked custard should not exceed 80 °C (~175 °F); it begins setting at 70 °C (~160 °F). A water bath slows heat transfer and makes it easier to remove the custard from the oven before it curdles. Adding a small amount of cornflour to the egg-sugar mixture stabilises the resulting custard, allowing it to be cooked in a single pan as well as in a double-boiler. A sous-vide water bath may be used to precisely control temperature.",https://en.wikipedia.org/wiki/Custard
dips,eggs,,
drink mixes,eggs,"A drink mix, or powdered drink mix is a processed-food product, a powder designed to mix usually with water to produce a beverage resembling fruit juice or soda in flavor. Another type of drink mix is represented by products that must be mixed into milk.",https://en.wikipedia.org/wiki/Drink_mix
fish sticks,eggs,"Fish fingers (British English) or fish sticks (American English) are a processed food made using a whitefish, such as cod, hake, haddock or pollock, which has been battered or breaded. They are commonly available in the frozen food section of supermarkets. They can be baked in the oven, grilled, shallow fried, or deep-fried.",https://en.wikipedia.org/wiki/Fish_finger
glaze on baked goods,eggs,"Nappage or apricot glaze is a baking technique.  Jam made from apricots is diluted with water to form a transparent, slightly apricot-colored glaze.  The glaze is used to cover fruit on a fruit tart or other baked goods, to make the fruit pieces shiny, prevent them from drying out, and to retard oxidation.",https://en.wikipedia.org/wiki/Nappage
