,Year,LGA,Numerator,Denominator,Indicator,area,latitude,longitude
6,2010,Ararat (RC),6,123,0.04878048780487805,"Ararat, Victoria, Australia",-37.2843443,142.930621
12,2010,Ballarat (C),21,1134,0.018518518518518517,"Ballarat, Victoria, Australia",-37.5622632,143.8607215
13,2011,Ballarat (C),26,1113,0.02336028751123091,"Ballarat, Victoria, Australia",-37.5622632,143.8607215
14,2012,Ballarat (C),27,1243,0.02172164119066774,"Ballarat, Victoria, Australia",-37.5622632,143.8607215
15,2013,Ballarat (C),20,1200,0.016666666666666666,"Ballarat, Victoria, Australia",-37.5622632,143.8607215
16,2014,Ballarat (C),19,1209,0.015715467328370553,"Ballarat, Victoria, Australia",-37.5622632,143.8607215
17,2015,Ballarat (C),23,1211,0.018992568125516102,"Ballarat, Victoria, Australia",-37.5622632,143.8607215
18,2010,Banyule (C),42,1205,0.034854771784232366,"Banyule, Victoria, Australia",-37.7470917,145.0812596
19,2011,Banyule (C),37,988,0.03744939271255061,"Banyule, Victoria, Australia",-37.7470917,145.0812596
20,2012,Banyule (C),47,1277,0.03680501174628034,"Banyule, Victoria, Australia",-37.7470917,145.0812596
21,2013,Banyule (C),34,1264,0.02689873417721519,"Banyule, Victoria, Australia",-37.7470917,145.0812596
22,2014,Banyule (C),39,1249,0.03122497998398719,"Banyule, Victoria, Australia",-37.7470917,145.0812596
23,2015,Banyule (C),43,1114,0.03859964093357271,"Banyule, Victoria, Australia",-37.7470917,145.0812596
24,2010,Bass Coast (S),7,316,0.022151898734177215,"Bass Coast, Victoria, Australia",-38.4841655,145.4687051
25,2011,Bass Coast (S),6,336,0.017857142857142856,"Bass Coast, Victoria, Australia",-38.4841655,145.4687051
26,2012,Bass Coast (S),9,371,0.02425876010781671,"Bass Coast, Victoria, Australia",-38.4841655,145.4687051
30,2010,Baw Baw (S),7,483,0.014492753623188406,"Baw Baw, Victoria, Australia",-37.755995,146.32904881594
31,2011,Baw Baw (S),7,500,0.014,"Baw Baw, Victoria, Australia",-37.755995,146.32904881594
32,2012,Baw Baw (S),9,525,0.017142857142857144,"Baw Baw, Victoria, Australia",-37.755995,146.32904881594
33,2013,Baw Baw (S),12,600,0.02,"Baw Baw, Victoria, Australia",-37.755995,146.32904881594
34,2014,Baw Baw (S),5,518,0.009652509652509652,"Baw Baw, Victoria, Australia",-37.755995,146.32904881594
36,2010,Bayside (C),26,993,0.026183282980866064,"Bayside, Victoria, Australia",-37.93978075,145.017752562162
37,2011,Bayside (C),29,1057,0.027436140018921477,"Bayside, Victoria, Australia",-37.93978075,145.017752562162
38,2012,Bayside (C),39,1086,0.03591160220994475,"Bayside, Victoria, Australia",-37.93978075,145.017752562162
39,2013,Bayside (C),28,1094,0.025594149908592323,"Bayside, Victoria, Australia",-37.93978075,145.017752562162
40,2014,Bayside (C),30,1122,0.026737967914438502,"Bayside, Victoria, Australia",-37.93978075,145.017752562162
41,2015,Bayside (C),27,1124,0.02402135231316726,"Bayside, Victoria, Australia",-37.93978075,145.017752562162
48,2010,Boroondara (C),67,1574,0.042566709021601014,"Boroondara, Victoria, Australia",-37.830575,145.051865
49,2011,Boroondara (C),70,1547,0.04524886877828054,"Boroondara, Victoria, Australia",-37.830575,145.051865
50,2012,Boroondara (C),74,1586,0.04665825977301387,"Boroondara, Victoria, Australia",-37.830575,145.051865
51,2013,Boroondara (C),58,1624,0.03571428571428571,"Boroondara, Victoria, Australia",-37.830575,145.051865
52,2014,Boroondara (C),64,1484,0.0431266846361186,"Boroondara, Victoria, Australia",-37.830575,145.051865
53,2015,Boroondara (C),60,1531,0.039190071848465055,"Boroondara, Victoria, Australia",-37.830575,145.051865
54,2010,Brimbank (C),60,1974,0.030395136778115502,"Brimbank, Victoria, Australia",-37.743175,144.805245490836
55,2011,Brimbank (C),39,2030,0.01921182266009852,"Brimbank, Victoria, Australia",-37.743175,144.805245490836
56,2012,Brimbank (C),47,2034,0.023107177974434612,"Brimbank, Victoria, Australia",-37.743175,144.805245490836
57,2013,Brimbank (C),49,2261,0.021671826625386997,"Brimbank, Victoria, Australia",-37.743175,144.805245490836
58,2014,Brimbank (C),51,2312,0.022058823529411766,"Brimbank, Victoria, Australia",-37.743175,144.805245490836
59,2015,Brimbank (C),45,2163,0.020804438280166437,"Brimbank, Victoria, Australia",-37.743175,144.805245490836
66,2010,Campaspe (S),7,442,0.01583710407239819,"Campaspe, Victoria, Australia",-36.736097,144.5212412
67,2011,Campaspe (S),15,459,0.032679738562091505,"Campaspe, Victoria, Australia",-36.736097,144.5212412
68,2012,Campaspe (S),6,433,0.013856812933025405,"Campaspe, Victoria, Australia",-36.736097,144.5212412
69,2013,Campaspe (S),7,440,0.015909090909090907,"Campaspe, Victoria, Australia",-36.736097,144.5212412
71,2015,Campaspe (S),7,470,0.014893617021276596,"Campaspe, Victoria, Australia",-36.736097,144.5212412
72,2010,Cardinia (S),15,913,0.01642935377875137,"Cardinia, Victoria, Australia",-38.13432,145.421166606992
73,2011,Cardinia (S),14,1045,0.013397129186602871,"Cardinia, Victoria, Australia",-38.13432,145.421166606992
74,2012,Cardinia (S),17,1187,0.014321819713563605,"Cardinia, Victoria, Australia",-38.13432,145.421166606992
75,2013,Cardinia (S),14,1220,0.011475409836065573,"Cardinia, Victoria, Australia",-38.13432,145.421166606992
76,2014,Cardinia (S),27,1257,0.021479713603818614,"Cardinia, Victoria, Australia",-38.13432,145.421166606992
77,2015,Cardinia (S),15,1305,0.011494252873563218,"Cardinia, Victoria, Australia",-38.13432,145.421166606992
78,2010,Casey (C),64,3081,0.020772476468679,"Casey, Victoria, Australia",-35.1670015,149.0947152
79,2011,Casey (C),71,3579,0.019837943559653536,"Casey, Victoria, Australia",-35.1670015,149.0947152
80,2012,Casey (C),59,3857,0.015296862846772103,"Casey, Victoria, Australia",-35.1670015,149.0947152
81,2013,Casey (C),64,4007,0.0159720489143998,"Casey, Victoria, Australia",-35.1670015,149.0947152
82,2014,Casey (C),58,3703,0.015662975965433434,"Casey, Victoria, Australia",-35.1670015,149.0947152
83,2015,Casey (C),59,3993,0.014775857751064363,"Casey, Victoria, Australia",-35.1670015,149.0947152
90,2010,Colac-Otway (S),5,252,0.01984126984126984,"Colac-Otway, Victoria, Australia",-38.3399766,143.5858537
92,2012,Colac-Otway (S),5,277,0.018050541516245487,"Colac-Otway, Victoria, Australia",-38.3399766,143.5858537
93,2013,Colac-Otway (S),5,232,0.021551724137931036,"Colac-Otway, Victoria, Australia",-38.3399766,143.5858537
94,2014,Colac-Otway (S),8,243,0.03292181069958848,"Colac-Otway, Victoria, Australia",-38.3399766,143.5858537
97,2011,Corangamite (S),6,219,0.0273972602739726,"Corangamite, Victoria, Australia",-38.216015,143.12738153095
102,2010,Darebin (C),52,1389,0.037437005039596835,"Darebin, Victoria, Australia",-37.7747921,145.0386786
103,2011,Darebin (C),50,1321,0.03785011355034065,"Darebin, Victoria, Australia",-37.7747921,145.0386786
104,2012,Darebin (C),54,1392,0.03879310344827586,"Darebin, Victoria, Australia",-37.7747921,145.0386786
105,2013,Darebin (C),45,1392,0.032327586206896554,"Darebin, Victoria, Australia",-37.7747921,145.0386786
106,2014,Darebin (C),34,1319,0.02577710386656558,"Darebin, Victoria, Australia",-37.7747921,145.0386786
107,2015,Darebin (C),35,1326,0.026395173453996983,"Darebin, Victoria, Australia",-37.7747921,145.0386786
108,2010,East Gippsland (S),9,447,0.020134228187919462,"East Gippsland, Victoria, Australia",-38.0938943,146.9695569
110,2012,East Gippsland (S),8,505,0.015841584158415842,"East Gippsland, Victoria, Australia",-38.0938943,146.9695569
113,2015,East Gippsland (S),5,488,0.010245901639344262,"East Gippsland, Victoria, Australia",-38.0938943,146.9695569
114,2010,Frankston (C),26,1377,0.01888162672476398,"Frankston, Victoria, Australia",-38.1444729,145.1268808
115,2011,Frankston (C),12,1357,0.008843036109064112,"Frankston, Victoria, Australia",-38.1444729,145.1268808
116,2012,Frankston (C),22,1513,0.014540647719762063,"Frankston, Victoria, Australia",-38.1444729,145.1268808
117,2013,Frankston (C),22,1603,0.01372426699937617,"Frankston, Victoria, Australia",-38.1444729,145.1268808
118,2014,Frankston (C),20,1534,0.01303780964797914,"Frankston, Victoria, Australia",-38.1444729,145.1268808
119,2015,Frankston (C),13,1537,0.008458035133376708,"Frankston, Victoria, Australia",-38.1444729,145.1268808
126,2010,Glen Eira (C),34,1174,0.028960817717206135,"Glen Eira, Victoria, Australia",-37.898995,145.04102611495
127,2011,Glen Eira (C),41,1294,0.03168469860896445,"Glen Eira, Victoria, Australia",-37.898995,145.04102611495
128,2012,Glen Eira (C),38,1310,0.02900763358778626,"Glen Eira, Victoria, Australia",-37.898995,145.04102611495
129,2013,Glen Eira (C),26,1404,0.018518518518518517,"Glen Eira, Victoria, Australia",-37.898995,145.04102611495
130,2014,Glen Eira (C),40,1520,0.02631578947368421,"Glen Eira, Victoria, Australia",-37.898995,145.04102611495
131,2015,Glen Eira (C),35,1471,0.02379333786539769,"Glen Eira, Victoria, Australia",-37.898995,145.04102611495
136,2014,Glenelg (S),6,177,0.03389830508474576,"Glenelg, Victoria, Australia",-34.9803673,138.5143342
138,2010,Golden Plains (S),6,256,0.0234375,"Golden Plains, Victoria, Australia",-37.8306095,143.7584639
139,2011,Golden Plains (S),6,260,0.023076923076923078,"Golden Plains, Victoria, Australia",-37.8306095,143.7584639
141,2013,Golden Plains (S),5,258,0.01937984496124031,"Golden Plains, Victoria, Australia",-37.8306095,143.7584639
142,2014,Golden Plains (S),7,288,0.024305555555555556,"Golden Plains, Victoria, Australia",-37.8306095,143.7584639
143,2015,Golden Plains (S),5,300,0.016666666666666666,"Golden Plains, Victoria, Australia",-37.8306095,143.7584639
144,2010,Greater Bendigo (C),24,1152,0.020833333333333332,"Greater Bendigo, Victoria, Australia",-36.79134455,144.315918893922
145,2011,Greater Bendigo (C),26,1179,0.02205258693808312,"Greater Bendigo, Victoria, Australia",-36.79134455,144.315918893922
146,2012,Greater Bendigo (C),32,1308,0.024464831804281346,"Greater Bendigo, Victoria, Australia",-36.79134455,144.315918893922
147,2013,Greater Bendigo (C),29,1303,0.022256331542594012,"Greater Bendigo, Victoria, Australia",-36.79134455,144.315918893922
148,2014,Greater Bendigo (C),23,1362,0.016886930983847283,"Greater Bendigo, Victoria, Australia",-36.79134455,144.315918893922
149,2015,Greater Bendigo (C),23,1304,0.01763803680981595,"Greater Bendigo, Victoria, Australia",-36.79134455,144.315918893922
150,2010,Greater Dandenong (C),20,1360,0.014705882352941176,"Greater Dandenong, Victoria, Australia",-38.0012282,145.187402770002
151,2011,Greater Dandenong (C),14,1462,0.009575923392612859,"Greater Dandenong, Victoria, Australia",-38.0012282,145.187402770002
152,2012,Greater Dandenong (C),22,1477,0.014895057549085985,"Greater Dandenong, Victoria, Australia",-38.0012282,145.187402770002
153,2013,Greater Dandenong (C),26,1706,0.015240328253223915,"Greater Dandenong, Victoria, Australia",-38.0012282,145.187402770002
154,2014,Greater Dandenong (C),26,1620,0.016049382716049384,"Greater Dandenong, Victoria, Australia",-38.0012282,145.187402770002
