Year,LGA,Numerator,Denominator,Indicator
2010,Alpine (S),NDP,NDP,NDP
2011,Alpine (S),NDP,NDP,NDP
2012,Alpine (S),NDP,NDP,NDP
2013,Alpine (S),NDP,NDP,NDP
2014,Alpine (S),NDP,NDP,NDP
2015,Alpine (S),NDP,NDP,NDP
2010,Ararat (RC),6,123,0.04878048780487805
2011,Ararat (RC),NDP,NDP,NDP
2012,Ararat (RC),NDP,NDP,NDP
2013,Ararat (RC),NDP,NDP,NDP
2014,Ararat (RC),NDP,NDP,NDP
2015,Ararat (RC),NDP,NDP,NDP
2010,Ballarat (C),21,1134,0.018518518518518517
2011,Ballarat (C),26,1113,0.02336028751123091
2012,Ballarat (C),27,1243,0.02172164119066774
2013,Ballarat (C),20,1200,0.016666666666666666
2014,Ballarat (C),19,1209,0.015715467328370553
2015,Ballarat (C),23,1211,0.018992568125516102
2010,Banyule (C),42,1205,0.034854771784232366
2011,Banyule (C),37,988,0.03744939271255061
2012,Banyule (C),47,1277,0.03680501174628034
2013,Banyule (C),34,1264,0.02689873417721519
2014,Banyule (C),39,1249,0.03122497998398719
2015,Banyule (C),43,1114,0.03859964093357271
2010,Bass Coast (S),7,316,0.022151898734177215
2011,Bass Coast (S),6,336,0.017857142857142856
2012,Bass Coast (S),9,371,0.02425876010781671
2013,Bass Coast (S),NDP,NDP,NDP
2014,Bass Coast (S),NDP,NDP,NDP
2015,Bass Coast (S),NDP,NDP,NDP
2010,Baw Baw (S),7,483,0.014492753623188406
2011,Baw Baw (S),7,500,0.014
2012,Baw Baw (S),9,525,0.017142857142857144
2013,Baw Baw (S),12,600,0.02
2014,Baw Baw (S),5,518,0.009652509652509652
2015,Baw Baw (S),NDP,NDP,NDP
2010,Bayside (C),26,993,0.026183282980866064
2011,Bayside (C),29,1057,0.027436140018921477
2012,Bayside (C),39,1086,0.03591160220994475
2013,Bayside (C),28,1094,0.025594149908592323
2014,Bayside (C),30,1122,0.026737967914438502
2015,Bayside (C),27,1124,0.02402135231316726
2010,Benalla (RC),NDP,NDP,NDP
2011,Benalla (RC),NDP,NDP,NDP
2012,Benalla (RC),NDP,NDP,NDP
2013,Benalla (RC),NDP,NDP,NDP
2014,Benalla (RC),NDP,NDP,NDP
2015,Benalla (RC),NDP,NDP,NDP
2010,Boroondara (C),67,1574,0.042566709021601014
2011,Boroondara (C),70,1547,0.04524886877828054
2012,Boroondara (C),74,1586,0.04665825977301387
2013,Boroondara (C),58,1624,0.03571428571428571
2014,Boroondara (C),64,1484,0.0431266846361186
2015,Boroondara (C),60,1531,0.039190071848465055
2010,Brimbank (C),60,1974,0.030395136778115502
2011,Brimbank (C),39,2030,0.01921182266009852
2012,Brimbank (C),47,2034,0.023107177974434612
2013,Brimbank (C),49,2261,0.021671826625386997
2014,Brimbank (C),51,2312,0.022058823529411766
2015,Brimbank (C),45,2163,0.020804438280166437
2010,Buloke (S),NDP,NDP,NDP
2011,Buloke (S),NDP,NDP,NDP
2012,Buloke (S),NDP,NDP,NDP
2013,Buloke (S),NDP,NDP,NDP
2014,Buloke (S),NDP,NDP,NDP
2015,Buloke (S),NDP,NDP,NDP
2010,Campaspe (S),7,442,0.01583710407239819
2011,Campaspe (S),15,459,0.032679738562091505
2012,Campaspe (S),6,433,0.013856812933025405
2013,Campaspe (S),7,440,0.015909090909090907
2014,Campaspe (S),NDP,NDP,NDP
2015,Campaspe (S),7,470,0.014893617021276596
2010,Cardinia (S),15,913,0.01642935377875137
2011,Cardinia (S),14,1045,0.013397129186602871
2012,Cardinia (S),17,1187,0.014321819713563605
2013,Cardinia (S),14,1220,0.011475409836065573
2014,Cardinia (S),27,1257,0.021479713603818614
2015,Cardinia (S),15,1305,0.011494252873563218
2010,Casey (C),64,3081,0.020772476468679
2011,Casey (C),71,3579,0.019837943559653536
2012,Casey (C),59,3857,0.015296862846772103
2013,Casey (C),64,4007,0.0159720489143998
2014,Casey (C),58,3703,0.015662975965433434
2015,Casey (C),59,3993,0.014775857751064363
2010,Central Goldfields (S),NDP,NDP,NDP
2011,Central Goldfields (S),NDP,NDP,NDP
2012,Central Goldfields (S),NDP,NDP,NDP
2013,Central Goldfields (S),NDP,NDP,NDP
2014,Central Goldfields (S),NDP,NDP,NDP
2015,Central Goldfields (S),NDP,NDP,NDP
2010,Colac-Otway (S),5,252,0.01984126984126984
2011,Colac-Otway (S),NDP,NDP,NDP
2012,Colac-Otway (S),5,277,0.018050541516245487
2013,Colac-Otway (S),5,232,0.021551724137931036
2014,Colac-Otway (S),8,243,0.03292181069958848
2015,Colac-Otway (S),NDP,NDP,NDP
2010,Corangamite (S),NDP,NDP,NDP
2011,Corangamite (S),6,219,0.0273972602739726
2012,Corangamite (S),NDP,NDP,NDP
2013,Corangamite (S),NDP,NDP,NDP
2014,Corangamite (S),NDP,NDP,NDP
2015,Corangamite (S),NDP,NDP,NDP
2010,Darebin (C),52,1389,0.037437005039596835
2011,Darebin (C),50,1321,0.03785011355034065
2012,Darebin (C),54,1392,0.03879310344827586
2013,Darebin (C),45,1392,0.032327586206896554
2014,Darebin (C),34,1319,0.02577710386656558
2015,Darebin (C),35,1326,0.026395173453996983
2010,East Gippsland (S),9,447,0.020134228187919462
2011,East Gippsland (S),NDP,NDP,NDP
2012,East Gippsland (S),8,505,0.015841584158415842
2013,East Gippsland (S),NDP,NDP,NDP
2014,East Gippsland (S),NDP,NDP,NDP
2015,East Gippsland (S),5,488,0.010245901639344262
