,Year,LGA,Numerator,Denominator,Indicator
414,2010,Victoria,1342,56981,0.023543
415,2011,Victoria,1374,58970,0.023295
416,2012,Victoria,1423,60478,0.023524
417,2013,Victoria,1388,63935,0.021706
418,2014,Victoria,1382,63391,0.021795
419,2015,Victoria,1286,63308,0.020313388513300057
420,2010,Victoria - Female,560,27158,0.020620075115987922
421,2011,Victoria - Female,537,28230,0.019022316684378322
422,2012,Victoria - Female,555,28688,0.01934606804238706
423,2013,Victoria - Female,543,29970,0.01811811811811812
424,2014,Victoria - Female,537,29895,0.017962870045158053
425,2015,Victoria - Female,518,29400,0.017619047619047618
426,2010,Victoria - Gender Status Unknown,13,1359,0.009565857247976454
427,2011,Victoria - Gender Status Unknown,6,1509,0.003976143141153081
428,2012,Victoria - Gender Status Unknown,10,1777,0.005627462014631401
429,2013,Victoria - Gender Status Unknown,6,2367,0.0025348542458808617
430,2014,Victoria - Gender Status Unknown,7,2259,0.003098716246126605
431,2015,Victoria - Gender Status Unknown,7,3539,0.0019779598756710934
432,2010,Victoria - Indigenous,14,887,0.015783540022547914
433,2011,Victoria - Indigenous,13,887,0.014656144306651634
434,2012,Victoria - Indigenous,17,905,0.01878453038674033
435,2013,Victoria - Indigenous,17,1000,0.017
436,2014,Victoria - Indigenous,19,1017,0.018682399213372666
437,2015,Victoria - Indigenous,16,1015,0.015763546798029555
438,2010,Victoria - Indigenous Status Unknown,15,1622,0.009247842170160296
439,2011,Victoria - Indigenous Status Unknown,12,2081,0.005766458433445459
440,2012,Victoria - Indigenous Status Unknown,8,2151,0.003719200371920037
441,2013,Victoria - Indigenous Status Unknown,16,2680,0.005970149253731343
442,2014,Victoria - Indigenous Status Unknown,7,2751,0.002544529262086514
443,2015,Victoria - Indigenous Status Unknown,11,4024,0.0027335984095427437
444,2010,Victoria - LBOTE,139,6885,0.02018881626724764
445,2011,Victoria - LBOTE,126,7219,0.017453940989056657
446,2012,Victoria - LBOTE,134,7639,0.017541563031810446
447,2013,Victoria - LBOTE,188,8432,0.022296015180265655
448,2014,Victoria - LBOTE,184,8804,0.020899591094956836
449,2015,Victoria - LBOTE,145,9014,0.01608608830707788
450,2010,Victoria - LBOTE status unknown,14,1736,0.008064516129032258
451,2011,Victoria - LBOTE status unknown,20,2334,0.00856898029134533
453,2013,Victoria - LBOTE status unknown,13,2648,0.004909365558912387
454,2014,Victoria - LBOTE status unknown,5,2602,0.001921598770176787
455,2015,Victoria - LBOTE status unknown,7,3781,0.0018513620735255223
456,2010,Victoria - Male,769,28465,0.02701563323379589
457,2011,Victoria - Male,831,29231,0.028428722931134753
458,2012,Victoria - Male,858,30013,0.028587612034784927
459,2013,Victoria - Male,839,31597,0.02655315378042219
460,2014,Victoria - Male,838,31236,0.026828018952490717
461,2015,Victoria - Male,762,30368,0.025092202318229714
462,2010,Victoria - No LBOTE,1189,48361,0.024585926676454168
463,2011,Victoria - No LBOTE,1228,49417,0.024849748062407674
464,2012,Victoria - No LBOTE,1286,50983,0.02522409430594512
465,2013,Victoria - No LBOTE,1187,52855,0.022457667202724435
466,2014,Victoria - No LBOTE,1193,51984,0.022949369036626654
467,2015,Victoria - No LBOTE,1134,50513,0.022449666422505097
468,2010,Victoria - Non-Indigenous,1313,54473,0.0241036843941035
469,2011,Victoria - Non-Indigenous,1349,56002,0.024088425413378092
470,2012,Victoria - Non-Indigenous,1398,57423,0.02434564547306828
471,2013,Victoria - Non-Indigenous,1355,60255,0.022487760351838023
472,2014,Victoria - Non-Indigenous,1356,59623,0.022742901229391342
473,2015,Victoria - Non-Indigenous,1259,58269,0.021606686231100587
